newCasesByPublishDate,newDeaths28DaysByDeathDate
77299,23
68868,61
53093,82
44931,72
40713,89
48540,73
48908,77
43550,94
44019,86
38866,91
41525,105
37396,91
39949,113
43888,107
45880,80
41519,103
33590,84
34906,101
32136,88
35798,85
42272,107
40382,107
36511,95
36550,120
36478,91
33513,86
36339,97
37006,102
39315,112
30638,98
30853,130
31440,136
29404,99
33493,111
33155,117
35472,121
31541,119
27872,122
24979,126
23779,134
26250,137
28490,124
30166,120
34317,128
28531,127
32081,136
31479,152
36204,131
36853,130
33903,153
37502,130
32280,129
33309,113
33221,120
41259,130
41745,102
44363,110
41498,118
36712,103
39473,95
38543,103
39624,96
37691,105
38488,110
36458,89
33287,85
32349,90
31096,70
31259,90
32157,90
33305,90
33450,74
28846,86
28251,80
25176,75
26794,74
28836,98
29826,81
29036,84
28808,76
29329,77
25538,68
28087,91
28199,91
29045,102
27317,101
24973,92
26905,102
22173,90
22956,92
23265,122
22949,113
22078,101
19739,118
21077,71
19913,103
23825,103
26653,109
27049,128
29286,114
27545,125
27202,121
27022,116
29614,111
31726,126
28686,99
24723,96
20967,95
21324,90
22501,106
25118,103
27545,106
29417,105
27350,87
23474,103
24158,96
25952,101
26982,87
29576,101
29762,92
28648,78
22712,96
23171,72
22859,72
26700,79
28679,87
28093,91
26647,80
20630,69
21915,68
24196,65
25877,85
28321,79
26512,89
26393,70
19012,66
19175,66
21645,73
23949,76
26241,93
27524,66
24367,71
20290,59
22181,65
25434,63
28968,64
32792,70
35939,64
39504,44
43261,49
34657,71
44777,56
50955,44
47360,39
44523,44
37895,32
32883,38
30619,32
28421,25
29732,32
31231,38
28421,26
27516,23
25295,19
23286,23
20454,22
21317,23
22393,25
22948,18
21293,20
16802,20
18702,9
11560,17
15136,9
13498,19
13068,19
12765,5
9096,9
8766,13
7778,20
8954,19
9185,10
9371,5
7642,10
6486,13
6647,8
6269,7
6601,13
6782,6
6436,9
6201,4
5250,7
4913,4
4405,5
4810,4
5102,8
4310,10
3486,9
2539,3
2854,7
2621,7
2747,5
3434,6
2936,7
2540,10
2081,3
1972,8
1734,6
2242,3
2303,7
2307,5
2151,3
2008,3
1645,5
1471,6
1614,7
1828,3
2229,4
1804,9
2117,13
2009,8
1418,8
1742,8
2142,8
2194,7
1906,12
1659,9
1453,8
1377,10
1642,7
2046,8
2103,11
1829,13
2410,10
1752,9
1401,12
1804,7
2277,17
2315,14
1943,17
2169,17
2550,16
1495,15
1897,19
2225,15
2171,17
2054,9
2070,19
3222,25
1338,19
2032,18
